sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
hiking jacket,claude-opus-4-7,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,Mammut,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,Marmot,40,40,0.0000,0.0000,1.0000,0.2000,context-free
hiking jacket,claude-opus-4-7,Montane,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,Outdoor Research,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,Patagonia,40,40,0.1750,1.0000,1.0000,0.5875,context-free
hiking jacket,claude-opus-4-7,Rab,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,The North Face,40,40,0.0000,1.0000,1.0000,0.3333,context-free
hiking jacket,claude-sonnet-4-6,Arc'teryx,40,40,0.0000,1.0000,1.0000,0.5000,context-free
hiking jacket,claude-sonnet-4-6,Black Diamond,39,40,0.0000,0.0000,0.9750,0.1950,context-free
hiking jacket,claude-sonnet-4-6,Columbia,40,40,0.0000,0.0000,1.0000,0.2500,context-free
hiking jacket,claude-sonnet-4-6,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-sonnet-4-6,Mammut,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-sonnet-4-6,Marmot,1,40,0.0000,0.0000,0.0250,0.0050,context-free
hiking jacket,claude-sonnet-4-6,Montane,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-sonnet-4-6,Outdoor Research,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-sonnet-4-6,Patagonia,40,40,1.0000,1.0000,1.0000,1.0000,context-free
hiking jacket,claude-sonnet-4-6,Rab,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-sonnet-4-6,The North Face,40,40,0.0000,1.0000,1.0000,0.3333,context-free
coffee maker,gpt-5.5,Bonavita,3,40,0.0000,0.0750,0.0750,0.0250,context-free
coffee maker,gpt-5.5,Braun,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.5,Breville,40,40,1.0000,1.0000,1.0000,1.0000,context-free
coffee maker,gpt-5.5,Cuisinart,40,40,0.0000,0.5250,1.0000,0.3508,context-free
coffee maker,gpt-5.5,De'Longhi,16,40,0.0000,0.2750,0.4000,0.1542,context-free
coffee maker,gpt-5.5,Hamilton Beach,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.5,Keurig,35,40,0.0000,0.5250,0.8750,0.2700,context-free
coffee maker,gpt-5.5,Mr. Coffee,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.5,Nespresso,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.5,Ninja,40,40,0.0000,0.3500,1.0000,0.2825,context-free
coffee maker,gpt-5.5,OXO,1,40,0.0000,0.0250,0.0250,0.0083,context-free
coffee maker,gpt-5.5,Technivorm,25,40,0.0000,0.2250,0.6250,0.1925,context-free
coffee maker,gpt-5.4-mini,Bonavita,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.4-mini,Braun,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.4-mini,Breville,40,40,0.1250,0.9000,1.0000,0.4333,context-free
coffee maker,gpt-5.4-mini,Cuisinart,40,40,0.0000,0.2750,1.0000,0.2733,context-free
coffee maker,gpt-5.4-mini,De'Longhi,9,40,0.0000,0.0250,0.2250,0.0525,context-free
coffee maker,gpt-5.4-mini,Hamilton Beach,7,40,0.0000,0.0000,0.1750,0.0350,context-free
coffee maker,gpt-5.4-mini,Keurig,40,40,0.8750,1.0000,1.0000,0.9292,context-free
coffee maker,gpt-5.4-mini,Mr. Coffee,24,40,0.0000,0.0000,0.6000,0.1225,context-free
coffee maker,gpt-5.4-mini,Nespresso,20,40,0.0000,0.4750,0.5000,0.2437,context-free
coffee maker,gpt-5.4-mini,Ninja,20,40,0.0000,0.3250,0.5000,0.1937,context-free
coffee maker,gpt-5.4-mini,OXO,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gpt-5.4-mini,Technivorm,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Bonavita,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Braun,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Breville,40,40,0.0000,1.0000,1.0000,0.3417,context-free
coffee maker,gemini-3.1-pro-preview,Cuisinart,40,40,0.0000,0.0000,1.0000,0.2325,context-free
